['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '101/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '113/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '107/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '100/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '89/128']
['0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '98/128']
['0/0', '0/0', '0/0', '8/16', '0/0', '0/0', '88/112']
['0/0', '0/0', '0/0', '3/17', '0/0', '0/0', '95/111']
['0/0', '0/0', '0/0', '3/25', '0/0', '0/0', '83/103']
['0/0', '0/0', '0/0', '5/31', '0/0', '0/0', '78/97']
['0/0', '0/0', '0/0', '4/24', '0/0', '0/0', '81/104']
['0/0', '0/0', '0/0', '10/59', '0/0', '0/0', '56/69']
['0/0', '0/0', '0/0', '8/41', '0/0', '0/0', '67/87']
['0/0', '0/0', '0/0', '6/38', '0/0', '0/0', '72/90']
['0/0', '0/0', '0/0', '10/39', '0/0', '0/0', '75/89']
['0/0', '0/0', '0/0', '10/31', '0/0', '0/0', '81/97']
['0/0', '0/0', '0/0', '6/22', '0/0', '0/0', '94/106']
['0/0', '0/0', '1/5', '7/23', '0/0', '0/0', '84/100']
['0/0', '0/0', '0/4', '8/31', '0/0', '0/0', '74/93']
['0/0', '0/0', '0/0', '4/21', '0/0', '0/0', '85/107']
['0/0', '0/0', '0/0', '8/43', '0/0', '0/0', '71/85']
['0/0', '0/0', '0/0', '7/41', '0/0', '0/0', '70/87']
['0/0', '0/0', '0/0', '8/42', '0/0', '0/0', '71/86']
['0/0', '0/0', '0/0', '7/40', '0/0', '0/0', '75/88']
['0/0', '0/0', '0/0', '9/39', '0/0', '0/0', '77/89']
['0/0', '0/0', '0/3', '8/32', '0/0', '0/0', '82/93']
['0/0', '0/0', '0/2', '8/33', '0/0', '0/0', '77/93']
['0/0', '0/0', '0/1', '4/24', '0/0', '0/0', '83/103']
['0/0', '0/0', '0/0', '3/25', '0/0', '0/0', '85/103']
['0/0', '0/0', '0/0', '13/47', '0/0', '0/0', '66/81']
['0/0', '0/0', '0/0', '7/42', '0/0', '0/0', '70/86']
['0/0', '0/0', '0/1', '8/52', '0/0', '0/0', '59/75']
['0/0', '0/0', '0/0', '8/25', '0/0', '0/0', '83/103']
['0/0', '0/0', '1/1', '5/28', '0/0', '0/0', '79/99']
['0/0', '0/0', '0/0', '2/17', '0/0', '0/0', '89/111']
['0/0', '0/0', '0/1', '15/45', '0/0', '0/0', '69/82']
['0/0', '0/0', '0/1', '4/36', '0/0', '0/0', '75/91']
['0/0', '0/0', '0/0', '7/39', '0/0', '0/0', '74/89']
['0/0', '0/0', '0/0', '5/41', '0/0', '0/0', '78/87']
['0/0', '0/0', '0/0', '4/33', '0/0', '0/0', '81/95']
['0/0', '0/0', '0/4', '9/33', '0/0', '0/0', '75/91']
['0/0', '0/0', '0/0', '5/25', '0/0', '0/0', '84/103']
['0/0', '0/0', '0/3', '5/28', '0/0', '0/0', '85/97']
['0/0', '0/0', '0/3', '13/43', '0/0', '0/0', '68/82']
['0/0', '0/0', '0/0', '6/37', '0/0', '0/0', '78/91']
['0/0', '0/0', '1/4', '7/29', '0/0', '0/0', '79/95']
['0/0', '0/0', '0/0', '9/43', '0/0', '0/0', '74/85']
['0/0', '0/0', '0/0', '10/27', '0/0', '0/0', '80/101']
['0/0', '0/0', '1/1', '14/39', '0/0', '0/0', '80/88']
['0/0', '0/0', '0/5', '5/25', '0/0', '0/0', '86/98']
['0/0', '0/0', '0/2', '8/35', '0/0', '0/0', '76/91']
['0/0', '0/0', '0/4', '7/29', '0/0', '0/0', '82/95']
['0/0', '0/0', '0/3', '4/26', '0/0', '0/0', '84/99']
['0/0', '0/0', '0/2', '9/35', '0/0', '0/0', '75/91']
['0/0', '0/0', '0/0', '8/40', '0/0', '0/0', '75/88']
['0/0', '0/0', '1/2', '7/35', '0/0', '0/0', '81/91']
['0/0', '0/0', '0/1', '8/42', '0/0', '0/0', '66/85']
['0/0', '0/0', '1/7', '7/23', '0/0', '0/0', '83/98']
['0/0', '0/0', '1/2', '4/27', '0/0', '0/0', '81/99']
['0/0', '0/0', '1/1', '9/37', '0/0', '0/0', '81/90']
['0/0', '0/0', '0/6', '6/22', '0/0', '0/0', '82/100']
['0/0', '0/0', '2/4', '9/30', '0/0', '0/0', '76/94']
['0/0', '0/0', '0/0', '4/23', '0/0', '0/0', '85/105']
['0/0', '0/2', '1/5', '6/25', '0/0', '0/0', '81/96']
['0/0', '0/0', '3/4', '6/33', '0/0', '0/0', '72/91']
['0/0', '0/0', '0/1', '9/36', '0/0', '0/0', '76/91']
['0/0', '0/0', '4/15', '3/14', '0/0', '0/0', '87/99']
['0/0', '0/0', '3/9', '5/25', '0/0', '0/0', '82/94']
['0/0', '0/0', '0/4', '5/30', '0/0', '0/0', '74/94']
['0/0', '0/0', '2/13', '7/23', '0/0', '0/0', '82/92']
['0/0', '0/0', '1/3', '5/35', '0/0', '0/0', '76/90']
['0/0', '0/0', '3/7', '6/23', '0/0', '0/0', '79/98']
['0/0', '0/0', '1/2', '9/37', '0/0', '0/0', '71/89']
['0/0', '0/0', '2/9', '5/20', '0/0', '0/0', '85/99']
['0/0', '0/0', '1/9', '10/32', '0/0', '0/0', '81/87']
['0/0', '0/0', '2/16', '6/35', '0/0', '0/0', '64/77']
['0/0', '0/0', '0/1', '3/24', '0/0', '0/0', '89/103']
['0/0', '0/0', '2/8', '6/28', '0/0', '0/0', '78/92']
['0/0', '0/0', '2/9', '7/23', '0/0', '0/0', '80/96']
['0/0', '0/0', '4/11', '9/36', '0/0', '0/0', '71/81']
['0/0', '0/0', '2/6', '7/28', '0/0', '0/0', '82/94']
['0/0', '0/0', '6/17', '5/28', '0/0', '0/0', '75/83']
['0/0', '0/0', '2/8', '6/27', '0/0', '0/0', '75/93']
['0/0', '0/0', '1/11', '8/34', '0/0', '0/0', '70/83']
['0/0', '0/0', '3/11', '5/25', '0/0', '0/0', '84/92']
['0/0', '0/0', '2/7', '9/28', '0/0', '0/0', '77/93']
['0/0', '0/0', '0/4', '11/43', '0/0', '0/0', '70/81']
['0/0', '0/0', '5/12', '6/26', '0/0', '0/0', '70/90']
['0/0', '0/0', '3/6', '5/33', '0/0', '0/0', '79/89']
['0/0', '0/0', '1/12', '8/32', '0/0', '0/0', '69/84']
['0/0', '0/0', '7/19', '7/27', '0/0', '0/0', '70/82']
['0/0', '0/0', '1/10', '7/33', '0/0', '0/0', '75/85']
['0/0', '0/0', '2/9', '5/24', '0/0', '0/0', '80/95']
['0/0', '0/0', '4/8', '6/42', '0/0', '0/0', '69/78']
['0/0', '0/0', '3/17', '3/28', '0/0', '0/0', '72/83']
['0/0', '0/0', '6/18', '9/29', '0/0', '0/0', '73/81']
['0/0', '0/0', '2/14', '12/34', '0/0', '0/0', '72/80']
['0/0', '0/0', '2/14', '3/21', '0/0', '0/0', '83/93']
['0/0', '0/0', '2/10', '8/30', '0/0', '0/0', '74/88']
['0/0', '0/0', '2/9', '4/24', '0/0', '0/0', '80/95']
['0/0', '0/0', '3/7', '8/31', '0/0', '0/0', '70/90']
['0/0', '0/0', '2/11', '5/25', '0/0', '0/0', '75/92']
['0/0', '0/0', '2/10', '4/33', '0/0', '0/0', '70/85']
['0/0', '0/0', '3/14', '5/34', '0/0', '0/0', '73/80']
['0/0', '0/0', '1/4', '10/41', '0/0', '0/0', '69/83']
['0/0', '0/0', '2/9', '9/31', '0/0', '0/0', '69/88']
['0/0', '0/0', '4/12', '8/36', '0/0', '0/0', '71/80']
['0/0', '0/0', '5/13', '5/28', '0/0', '0/0', '80/87']
['0/0', '0/0', '3/16', '5/18', '0/0', '0/0', '83/94']
['0/0', '0/0', '3/15', '5/24', '0/0', '0/0', '79/89']
['0/0', '0/0', '4/18', '8/23', '0/0', '0/0', '75/87']
['0/0', '0/0', '2/8', '4/18', '0/0', '0/0', '84/102']
['0/0', '0/0', '7/21', '4/16', '0/0', '0/0', '76/91']
['0/0', '0/0', '3/15', '9/26', '0/0', '0/0', '75/87']
['0/0', '1/1', '1/13', '8/14', '0/0', '0/0', '88/100']
['0/0', '0/0', '4/16', '7/29', '0/0', '0/0', '69/83']
['0/0', '0/0', '3/9', '9/26', '0/0', '0/0', '78/93']
['0/0', '1/5', '3/19', '15/36', '0/0', '0/0', '50/68']
['0/0', '0/0', '3/10', '6/26', '0/0', '0/0', '72/92']
['0/0', '0/0', '6/14', '6/30', '0/0', '0/0', '75/84']
['0/0', '0/0', '3/13', '7/33', '0/0', '0/0', '70/82']
['0/0', '0/0', '1/13', '5/19', '0/0', '0/0', '76/96']
['0/0', '0/0', '6/19', '13/29', '0/0', '0/0', '71/80']
['0/0', '0/0', '3/7', '9/38', '0/0', '0/0', '74/83']
['0/0', '0/1', '9/16', '7/31', '0/0', '0/0', '72/80']
['0/0', '0/0', '4/13', '8/37', '0/0', '0/0', '68/78']
['0/0', '0/0', '5/13', '10/26', '0/0', '0/0', '75/89']
['0/0', '0/0', '4/12', '9/29', '0/0', '0/0', '74/87']
['0/0', '0/1', '3/13', '6/28', '0/0', '0/0', '76/86']
['0/0', '0/0', '6/17', '5/26', '0/0', '0/0', '72/85']
['0/0', '0/0', '5/16', '9/31', '0/0', '0/0', '71/81']
['0/0', '0/0', '4/12', '10/26', '0/0', '0/0', '80/90']
['0/0', '0/0', '3/16', '7/24', '0/0', '0/0', '83/88']
['0/0', '0/0', '4/13', '8/32', '0/0', '0/0', '67/83']
['0/0', '0/0', '3/10', '6/25', '0/0', '0/0', '79/93']
['0/0', '0/0', '2/8', '7/25', '0/0', '0/0', '81/95']
['0/0', '0/2', '4/9', '6/23', '0/0', '0/0', '85/94']
['0/0', '1/4', '3/9', '8/24', '0/0', '0/0', '82/91']
['0/0', '0/0', '2/13', '7/29', '0/0', '0/0', '67/86']
['0/0', '2/2', '4/16', '7/19', '0/0', '0/0', '72/91']
['0/0', '0/0', '7/14', '7/23', '0/0', '0/0', '74/91']
['0/0', '1/2', '6/14', '5/23', '0/0', '0/0', '77/89']
['0/0', '1/2', '1/13', '7/18', '0/0', '0/0', '84/95']
['0/0', '0/0', '3/9', '1/17', '0/0', '0/0', '84/102']
['0/0', '0/1', '2/12', '7/19', '0/0', '0/0', '79/96']
['0/0', '0/2', '3/12', '6/24', '0/0', '0/0', '76/90']
['0/0', '2/3', '6/16', '5/13', '0/0', '0/0', '82/96']
['0/0', '1/3', '6/19', '10/29', '0/0', '0/0', '69/77']
['0/0', '0/1', '4/16', '14/29', '0/0', '0/0', '75/82']
['0/0', '1/3', '0/7', '8/29', '0/0', '0/0', '78/89']
['0/0', '1/3', '2/8', '7/26', '0/0', '0/0', '79/91']
['0/0', '0/0', '5/11', '7/22', '0/0', '0/0', '84/95']
